example_id,format_pair,format_a,format_b,layer,representation,cosine,distance,failure_flip_example,all_correct,all_wrong,correct_a,correct_b,token_count_a,token_count_b,question_category,question_difficulty
0,html-markdown,html,markdown,-1,final_token,0.9904569387435913,0.009543061256408691,0,1,0,1,1,11462,4022,Simple Lookup,Easy
0,html-markdown,html,markdown,-1,mean_pool,0.9255205988883972,0.07447940111160278,0,1,0,1,1,11462,4022,Simple Lookup,Easy
0,html-markdown,html,markdown,0,final_token,1.0000005960464478,-5.960464477539062e-07,0,1,0,1,1,11462,4022,Simple Lookup,Easy
0,html-markdown,html,markdown,0,mean_pool,0.5012320876121521,0.4987679123878479,0,1,0,1,1,11462,4022,Simple Lookup,Easy
0,html-markdown,html,markdown,13,final_token,0.9976484179496765,0.0023515820503234863,0,1,0,1,1,11462,4022,Simple Lookup,Easy
0,html-markdown,html,markdown,13,mean_pool,0.9610074758529663,0.03899252414703369,0,1,0,1,1,11462,4022,Simple Lookup,Easy
0,html-markdown,html,markdown,20,final_token,0.9995218515396118,0.0004781484603881836,0,1,0,1,1,11462,4022,Simple Lookup,Easy
0,html-markdown,html,markdown,20,mean_pool,0.9992148280143738,0.0007851719856262207,0,1,0,1,1,11462,4022,Simple Lookup,Easy
0,html-markdown,html,markdown,6,final_token,0.9579691886901855,0.04203081130981445,0,1,0,1,1,11462,4022,Simple Lookup,Easy
0,html-markdown,html,markdown,6,mean_pool,0.7564969658851624,0.24350303411483765,0,1,0,1,1,11462,4022,Simple Lookup,Easy
0,html-latex,html,latex,-1,final_token,0.9883748888969421,0.011625111103057861,0,1,0,1,1,11462,3173,Simple Lookup,Easy
0,html-latex,html,latex,-1,mean_pool,0.9135562181472778,0.08644378185272217,0,1,0,1,1,11462,3173,Simple Lookup,Easy
0,html-latex,html,latex,0,final_token,1.0000005960464478,-5.960464477539062e-07,0,1,0,1,1,11462,3173,Simple Lookup,Easy
0,html-latex,html,latex,0,mean_pool,0.3717660903930664,0.6282339096069336,0,1,0,1,1,11462,3173,Simple Lookup,Easy
0,html-latex,html,latex,13,final_token,0.9978063702583313,0.002193629741668701,0,1,0,1,1,11462,3173,Simple Lookup,Easy
0,html-latex,html,latex,13,mean_pool,0.967422366142273,0.03257763385772705,0,1,0,1,1,11462,3173,Simple Lookup,Easy
0,html-latex,html,latex,20,final_token,0.999247670173645,0.0007523298263549805,0,1,0,1,1,11462,3173,Simple Lookup,Easy
0,html-latex,html,latex,20,mean_pool,0.9990400671958923,0.000959932804107666,0,1,0,1,1,11462,3173,Simple Lookup,Easy
0,html-latex,html,latex,6,final_token,0.9540171027183533,0.04598289728164673,0,1,0,1,1,11462,3173,Simple Lookup,Easy
0,html-latex,html,latex,6,mean_pool,0.8651217818260193,0.1348782181739807,0,1,0,1,1,11462,3173,Simple Lookup,Easy
0,markdown-latex,markdown,latex,-1,final_token,0.9916689395904541,0.008331060409545898,0,1,0,1,1,4022,3173,Simple Lookup,Easy
0,markdown-latex,markdown,latex,-1,mean_pool,0.9798848628997803,0.020115137100219727,0,1,0,1,1,4022,3173,Simple Lookup,Easy
0,markdown-latex,markdown,latex,0,final_token,1.0000005960464478,-5.960464477539062e-07,0,1,0,1,1,4022,3173,Simple Lookup,Easy
0,markdown-latex,markdown,latex,0,mean_pool,0.4808773696422577,0.5191226303577423,0,1,0,1,1,4022,3173,Simple Lookup,Easy
0,markdown-latex,markdown,latex,13,final_token,0.9989441633224487,0.0010558366775512695,0,1,0,1,1,4022,3173,Simple Lookup,Easy
0,markdown-latex,markdown,latex,13,mean_pool,0.9879261255264282,0.012073874473571777,0,1,0,1,1,4022,3173,Simple Lookup,Easy
0,markdown-latex,markdown,latex,20,final_token,0.999360203742981,0.000639796257019043,0,1,0,1,1,4022,3173,Simple Lookup,Easy
0,markdown-latex,markdown,latex,20,mean_pool,0.9997754693031311,0.00022453069686889648,0,1,0,1,1,4022,3173,Simple Lookup,Easy
0,markdown-latex,markdown,latex,6,final_token,0.9711695313453674,0.02883046865463257,0,1,0,1,1,4022,3173,Simple Lookup,Easy
0,markdown-latex,markdown,latex,6,mean_pool,0.8480467200279236,0.15195327997207642,0,1,0,1,1,4022,3173,Simple Lookup,Easy
1,html-markdown,html,markdown,-1,final_token,0.9250189661979675,0.07498103380203247,0,1,0,1,1,936,468,Simple Lookup,Easy
1,html-markdown,html,markdown,-1,mean_pool,0.9424102306365967,0.05758976936340332,0,1,0,1,1,936,468,Simple Lookup,Easy
1,html-markdown,html,markdown,0,final_token,1.0000005960464478,-5.960464477539062e-07,0,1,0,1,1,936,468,Simple Lookup,Easy
1,html-markdown,html,markdown,0,mean_pool,0.67903733253479,0.32096266746520996,0,1,0,1,1,936,468,Simple Lookup,Easy
1,html-markdown,html,markdown,13,final_token,0.9986229538917542,0.0013770461082458496,0,1,0,1,1,936,468,Simple Lookup,Easy
1,html-markdown,html,markdown,13,mean_pool,0.9843403697013855,0.015659630298614502,0,1,0,1,1,936,468,Simple Lookup,Easy
1,html-markdown,html,markdown,20,final_token,0.9992451071739197,0.0007548928260803223,0,1,0,1,1,936,468,Simple Lookup,Easy
